Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocked),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Completes),Outward issue link (Completes),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Outward issue link (Reference),Inward issue link (Required),Outward issue link (Required),Inward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Possible issue on documentation : producerConfig -> retries,KAFKA-14687,13523482,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,,2me,2me,07/Feb/23 11:36,07/Feb/23 23:33,13/Jul/23 09:17,07/Feb/23 23:33,3.3.2,,,,,,,,,,,,,,,,,,,,,,documentation,,,,,,0,,,,,,"Since Kafka 3, The documentation said [here|https://kafka.apache.org/documentation/#producerconfigs_retries] that
{code:java}
Allowing retries while setting enable.idempotence to false and max.in.flight.requests.per.connection to 1 will potentially change the ordering of records because if two batches are sent to a single partition, and the first fails and is retried but the second succeeds, then the records in the second batch may appear first. {code}
 

 

Or I think that a ""without"" is missing

Allowing retries while setting enable.idempotence to false and max.in.flight.requests.per.connection to 1 will potentially change the ordering of records

Should be

 

Allowing retries while setting enable.idempotence to false and +*without setting*+ max.in.flight.requests.per.connection to 1 will potentially change the ordering of records",,2me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Feb 07 23:33:20 UTC 2023,,,,,,,,,,"0|z1fq0g:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"07/Feb/23 23:33;2me;I see that was fixed at this revision number : d2556e02a25af28cf4cc093a190cc0154145121e

[https://github.com/apache/kafka/commit/d2556e02a25af28cf4cc093a190cc0154145121e]

But not yet update on the website

 

 ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token endpoint URL used for OIDC cannot be set on the JAAS config,KAFKA-14676,13523203,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,rsivaram,rsivaram,rsivaram,06/Feb/23 09:57,12/Feb/23 20:04,13/Jul/23 09:17,12/Feb/23 20:04,3.1.2,3.2.3,3.3.2,3.4.0,,,,,,,,,,,,3.3.3,3.4.1,3.5.0,,,,,security,,,,,,0,,,,,,"Kafka allows multiple clients within a JVM to use different SASL configurations by configuring the JAAS configuration in `sasl.jaas.config` instead of the JVM-wide system property. For SASL login, we reuse logins within a JVM by caching logins indexed by their sasl.jaas.config. This relies on login configs being overridable using `sasl.jaas.config`. 

KIP-768 ([https://cwiki.apache.org/confluence/pages/viewpage.action?pageId=186877575)] added support for OIDC for SASL/OAUTHBEARER. The token endpoint used to acquire tokens can currently only be configured using the Kafka config `sasl.oauthbearer.token.endpoint.url`. This prevents different clients within a JVM from using different URLs. We need to either provide a way to override the URL within `sasl.jaas.config` or include more of the client configs in the LoginMetadata used as key for cached logins.",,kirktrue,rsivaram,showuon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-02-06 09:57:42.0,,,,,,,,,,"0|z1foag:",9223372036854775807,,omkreddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raft idle ratio is inaccurate,KAFKA-14664,13522148,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,hachikuji,hachikuji,hachikuji,31/Jan/23 03:09,15/Feb/23 22:40,13/Jul/23 09:17,15/Feb/23 22:40,3.3.0,3.3.1,3.3.2,3.4.0,,,,,,,,,,,,3.5.0,,,,,,,,,,,,,0,,,,,,"The `poll-idle-ratio-avg` metric is intended to track how idle the raft IO thread is. When completely idle, it should measure 1. When saturated, it should measure 0. The problem with the current measurements is that they are treated equally with respect to time. For example, say we poll twice with the following durations:

Poll 1: 2s

Poll 2: 0s

Assume that the busy time is negligible, so 2s passes overall.

In the first measurement, 2s is spent waiting, so we compute and record a ratio of 1.0. In the second measurement, no time passes, and we record 0.0. The idle ratio is then computed as the average of these two values (1.0 + 0.0 / 2 = 0.5), which suggests that the process was busy for 1s, which overestimates the true busy time.

Instead, we should sum up the time waiting over the full interval. 2s passes total here and 2s is idle, so we should compute 1.0.",,hachikuji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-01-31 03:09:17.0,,,,,,,,,,"0|z1fhu0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACL listings in documentation are out of date,KAFKA-14662,13522101,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,tinaselenge,mimaison,mimaison,30/Jan/23 17:34,10/May/23 08:23,13/Jul/23 09:17,08/May/23 06:36,,,,,,,,,,,,,,,,3.6.0,,,,,,,core,docs,,,,,0,,,,,,"ACLs listed in https://kafka.apache.org/documentation/#operations_resources_and_protocols are out of date. They only cover API keys up to 47 (OffsetDelete) and don't include DescribeClientQuotas, AlterClientQuotas, DescribeUserScramCredentials, AlterUserScramCredentials, DescribeQuorum, AlterPartition, UpdateFeatures, DescribeCluster, DescribeProducers, UnregisterBroker, DescribeTransactions, ListTransactions, AllocateProducerIds.

This is hard to keep up to date so we should consider whether this could be generated automatically.",,jeqo,mimaison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-01-30 17:34:00.0,,,,,,,,,,"0|z1fhk0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divide by zero security vulnerability (sonatype-2019-0422),KAFKA-14660,13522063,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Minor,Fixed,mjsax,BigAndy,BigAndy,30/Jan/23 12:30,08/Feb/23 05:40,13/Jul/23 09:17,04/Feb/23 08:49,3.3.2,,,,,,,,,,,,,,,3.4.1,3.5.0,,,,,,streams,,,,,,0,,,,,,"Looks like SonaType has picked up a ""Divide by Zero"" issue reported in a PR and, because the PR was never merged, is now reporting it as a security vulnerability in the latest Kafka Streams library.

 

See:
 * [Vulnerability: sonatype-2019-0422]([https://ossindex.sonatype.org/vulnerability/sonatype-2019-0422?component-type=maven&component-name=org.apache.kafka%2Fkafka-streams&utm_source=ossindex-client&utm_medium=integration&utm_content=1.7.0)]

 * [Original PR]([https://github.com/apache/kafka/pull/7414])

 

While it looks from the comments made by [~mjsax] and [~bbejeck] that the divide-by-zero is not really an issue, the fact that its now being reported as a vulnerability is, especially with regulators.

PITA, but we should consider either getting this vulnerability removed (Google wasn't very helpful in providing info on how to do this), or fixed (Again, not sure how to tag the fix as fixing this issue).  One option may just be to reopen the PR and merge (and then fix forward by switching it to throw an exception).",,BigAndy,mjsax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Feb 06 22:04:28 UTC 2023,,,,,,,,,,"0|z1fhbk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"30/Jan/23 20:07;BigAndy;Hey Matthias ;);;;","30/Jan/23 21:49;mjsax;Hey Andy – thanks for the ticket. We would have accepted a PR, too. :D;;;","30/Jan/23 23:25;BigAndy;As per description, I think the best 'fix' might be to re-open the PR and merge it, as it looks to me that the vulnerability report it tied to the PR.  

If you know how I can tag a new PR to resolve the vulnerability, then I'm all ears.;;;","31/Jan/23 16:36;mjsax;The original PR did not make sense, as if totalCapacity would really be zero, there is a bug and just setting it to 1 does not sound right. I did already merge a new PR that just raises an exception for this case, and thus avoid divide-by-zero. This should resolve the issue.;;;","03/Feb/23 00:06;BigAndy;The issue here is more the SonaType security vulnerability report than any impossible to reach divide by zero issue. Unfortunately, I'm struggling to find information on _how_ to mark the vulnerability resolved in SonaType.  This was why I was suggesting opening and merging the PR, as it seems the PR is the cause of the report.

I realise the PR's solution wasn't ideal. Hence I was suggesting to merge and put in a second change after to fix the fix, so to speak.

If you've already summited a fix for the DBZ, then I see two potential ways forward:
 # work out how to inform SonaType the issue is fixed:
 ## There is a [Report correction|https://ossindex.sonatype.org/doc/report-vulnerability] link on the bug report.  May you, or I if you let me know the PR you fixed the DBZ in, can use this to raise the fact its been fixed?
 ## Maybe just tagging the [SonaType issue|https://ossindex.sonatype.org/vulnerability/sonatype-2019-0422?component-type=maven&component-name=org.apache.kafka%2Fkafka-streams&utm_source=ossindex-client&utm_medium=integration&utm_content=1.7.0] in your PR would be enough?
 ## Does someone in Confluent know about this stuff that you can talk to?
 ## ????
 # reopen, 'adjust' and merge the original PR... hopefully triggering SonaType to mark the issue resolved.;;;","03/Feb/23 00:09;BigAndy;[~mjsax] can you provide a link to the PR that fixed this DBZ issue?  I'm going to email sonatype and link to this issue...;;;","03/Feb/23 16:50;mjsax;Not sure why the PR was not auto-linked... Fixed.

[https://github.com/apache/kafka/pull/13175]

Thanks for your follow up. Can we close this ticket? Let me know if there is anything else I can do.;;;","04/Feb/23 08:50;BigAndy;[~mjsax] Just want to check this won't be released until 3.5.0.  Next public release is 3.4.0.  I'm assuming this missed the cut off, but just want to check its not a typo...;;;","06/Feb/23 22:04;mjsax;Correct. 3.4.0 is already voted and should be released soon. I plan to cherry-pick for 3.4.1 after 3.4.0 is out.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"source-record-write-[rate|total] metrics include filtered records",KAFKA-14659,13521821,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Minor,Fixed,hgeraldino,cbeard,cbeard,28/Jan/23 01:42,28/Feb/23 14:50,13/Jul/23 09:17,28/Feb/23 14:41,,,,,,,,,,,,,,,,3.3.3,3.4.1,3.5.0,,,,,KafkaConnect,,,,,,0,,,,,,"Source tasks in Kafka connect offer two sets of metrics (documented in [ConnectMetricsRegistry.java|https://github.com/apache/kafka/blob/72cfc994f5675be349d4494ece3528efed290651/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/ConnectMetricsRegistry.java#L173-L191]):
||Metric||Description||
|source-record-poll-rate|The average per-second number of records produced/polled (before transformation) by this task belonging to the named source connector in this worker.|
|source-record-write-rate|The average per-second number of records output from the transformations and written to Kafka for this task belonging to the named source connector in this worker. This is after transformations are applied and excludes any records filtered out by the transformations.|

There are also corresponding ""-total"" metrics that capture the total number of records polled and written for the metrics above, respectively.

In short, the ""poll"" metrics capture the number of messages sourced pre-transformation/filtering, and the ""write"" metrics should capture the number of messages ultimately written to Kafka post-transformation/filtering. However, the implementation of the {{source-record-write-*}}  metrics _includes_ records filtered out by transformations (and also records that result in produce failures with the config {{{}errors.tolerance=all{}}}).
h3. Details

In [AbstractWorkerSourceTask.java|https://github.com/apache/kafka/blob/a382acd31d1b53cd8695ff9488977566083540b1/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/AbstractWorkerSourceTask.java#L389-L397], each source record is passed through the transformation chain where it is potentially filtered out, checked to see if it was in fact filtered out, and if so it is accounted for in the internal metrics via {{{}counter.skipRecord(){}}}.
{code:java}
for (final SourceRecord preTransformRecord : toSend) {         
    retryWithToleranceOperator.sourceRecord(preTransformRecord);
    final SourceRecord record = transformationChain.apply(preTransformRecord);            
    final ProducerRecord<byte[], byte[]> producerRecord = convertTransformedRecord(record);
    if (producerRecord == null || retryWithToleranceOperator.failed()) {                
        counter.skipRecord();
        recordDropped(preTransformRecord);
        continue;
    }
    ...
{code}
{{SourceRecordWriteCounter.skipRecord()}} is implemented as follows:
{code:java}
    ....
    public SourceRecordWriteCounter(int batchSize, SourceTaskMetricsGroup metricsGroup) {
        assert batchSize > 0;
        assert metricsGroup != null;
        this.batchSize = batchSize;
        counter = batchSize;
        this.metricsGroup = metricsGroup;
    }
    public void skipRecord() {
        if (counter > 0 && --counter == 0) {
            finishedAllWrites();
        }
    }
    ....
    private void finishedAllWrites() {
        if (!completed) {
            metricsGroup.recordWrite(batchSize - counter);
            completed = true;
        }
    }
{code}
For example: If a batch starts with 100 records, {{batchSize}} and {{counter}} will both be initialized to 100. If all 100 records get filtered out, {{counter}} will be decremented 100 times, and {{{}finishedAllWrites(){}}}will record the value 100 to the underlying {{source-record-write-*}}  metrics rather than 0, the correct value according to the documentation for these metrics.
h3. Solutions

Assuming the documentation correctly captures the intent of the {{source-record-write-*}}  metrics, it seems reasonable to fix these metrics such that filtered records do not get counted.

It may also be useful to add additional metrics to capture the rate and total number of records filtered out by transformations, which would require a KIP.

I'm not sure what the best way of accounting for produce failures in the case of {{errors.tolerance=all}} is yet. Maybe these failures deserve their own new metrics?",,cbeard,ChrisEgerton,hgeraldino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-01-28 01:42:56.0,,,,,,,,,,"0|z1ffuo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When listening on fixed ports, defer port opening until we're ready",KAFKA-14658,13521799,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,cmccabe,cmccabe,cmccabe,27/Jan/23 18:40,24/May/23 23:01,13/Jul/23 09:17,24/May/23 23:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"When we are listening on fixed ports, we should defer opening ports until we're ready to accept traffic. If we open the broker port too early, it can confuse monitoring and deployment systems. This is a particular concern when in KRaft mode, since in that mode, we create the SocketServer object earlier in the startup process than when in ZK mode.

The approach taken in this PR is to defer opening the acceptor port until Acceptor.start is called. Note that when we are listening on a random port, we continue to open the port ""early,"" in the SocketServer constructor. The reason for doing this is that there is no other way to find the random port number the kernel has selected. Since random port assignment is not used in production deployments, this should be reasonable.",,cmccabe,wushujames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-01-27 18:40:45.0,,,,,,,,,,"0|z1ffq0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brokers rejecting LISR during ZK migration,KAFKA-14656,13521629,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Blocker,Fixed,mumrah,mumrah,mumrah,26/Jan/23 15:43,31/Jan/23 14:50,13/Jul/23 09:17,31/Jan/23 14:50,3.4.0,,,,,,,,,,,,,,,3.4.0,,,,,,,,,,,,,0,,,,,,"During the ZK migration, the KRaft controller sends controller RPCs to the ZK brokers (LISR, UMR, etc). Since the migration can begin immediately after a ZK broker starts up with migration enabled, it is possible that this broker is not seen as alive by the rest of the brokers. This is due to the KRaft controller taking over before the ZK controller can send out UMR with the restarted broker.

 

The result is that the parts of the LISR sent by KRaft immediately after the metadata migration is rejected by brokers due the leader being offline. 

 

The fix for this is to send an UMR to all brokers after the migration with the set of alive brokers.",,mumrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-01-26 15:43:18.0,,,,,,,,,,"0|z1feog:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connectors have incorrect Thread Context Classloader during initialization,KAFKA-14654,13521543,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,gharris1727,gharris1727,gharris1727,25/Jan/23 17:54,25/May/23 14:23,13/Jul/23 09:17,25/May/23 14:23,3.0.0,3.1.0,3.2.0,3.3.0,3.4.0,,,,,,,,,,,3.6.0,,,,,,,KafkaConnect,,,,,,0,,,,,,"This is the same underlying issue as https://issues.apache.org/jira/browse/KAFKA-8340 , which fixed the thread context classloader for service loaded plugins, and for plugins which are first loaded _after_ plugin path scanning.
However, that correction PR failed to fix the context classloader for Connector classes, which are first instantiated and initialized during plugin path scanning, via the versionFor method.",,ChrisEgerton,gharris1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAFKA-14670,KAFKA-8340,KAFKA-14863,,KAFKA-14627,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-01-25 17:54:47.0,,,,,,,,,,"0|z1fe5k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQv2 can throw ConcurrentModificationException when accessing Tasks ,KAFKA-14650,13521189,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,guozhang,ableegoldman,ableegoldman,24/Jan/23 23:54,09/Feb/23 18:35,13/Jul/23 09:17,09/Feb/23 18:35,3.4.0,,,,,,,,,,,,,,,3.5.0,,,,,,,streams,,,,,,0,,,,,,"From failure in *[PositionRestartIntegrationTest.verifyStore[cache=false, log=true, supplier=IN_MEMORY_WINDOW, kind=PAPI]|https://ci-builds.apache.org/job/Kafka/job/kafka/job/3.4/63/testReport/junit/org.apache.kafka.streams.integration/PositionRestartIntegrationTest/Build___JDK_11_and_Scala_2_13___verifyStore_cache_false__log_true__supplier_IN_MEMORY_WINDOW__kind_PAPI_/]*
java.util.ConcurrentModificationException
	at java.base/java.util.TreeMap$PrivateEntryIterator.nextEntry(TreeMap.java:1208)
	at java.base/java.util.TreeMap$EntryIterator.next(TreeMap.java:1244)
	at java.base/java.util.TreeMap$EntryIterator.next(TreeMap.java:1239)
	at java.base/java.util.HashMap.putMapEntries(HashMap.java:508)
	at java.base/java.util.HashMap.putAll(HashMap.java:781)
	at org.apache.kafka.streams.processor.internals.Tasks.allTasksPerId(Tasks.java:361)
	at org.apache.kafka.streams.processor.internals.TaskManager.allTasks(TaskManager.java:1537)
	at org.apache.kafka.streams.processor.internals.StreamThread.allTasks(StreamThread.java:1278)
	at org.apache.kafka.streams.KafkaStreams.query(KafkaStreams.java:1921)
	at org.apache.kafka.streams.integration.utils.IntegrationTestUtils.iqv2WaitForResult(IntegrationTestUtils.java:168)
	at org.apache.kafka.streams.integration.PositionRestartIntegrationTest.shouldReachExpectedPosition(PositionRestartIntegrationTest.java:438)
	at org.apache.kafka.streams.integration.PositionRestartIntegrationTest.verifyStore(PositionRestartIntegrationTest.java:423)",,ableegoldman,mjsax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-01-24 23:54:53.0,,,,,,,,,,"0|z1fbyw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Failures instantiating Connect plugins hides other plugins from REST API, or crash worker",KAFKA-14649,13521182,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Minor,Fixed,gharris1727,gharris1727,gharris1727,24/Jan/23 22:33,03/Mar/23 14:55,13/Jul/23 09:17,02/Mar/23 20:11,3.0.0,3.1.0,3.2.0,3.3.0,3.4.0,,,,,,,,,,,3.4.1,3.5.0,,,,,,KafkaConnect,,,,,,0,,,,,,"Connect plugin path scanning evaluates the version() method of plugins to determine which version of a plugin to load, and what version to advertise as part of the REST API. This process involves reflectively constructing an instance of the class and calling the version method, which can fail in the following scenarios:

1. If a plugin throws an exception from a static initialization block
2. If a plugin does not have a default constructor (such as a non-static inner class)
3. If a plugin has a default constructor is not public
4. If a plugin throws an exception from the default constructor
5. If a plugin's version method throws an exception

If any of the above is true for any single connector or rest extension on the classpath or plugin.path, the plugin path scanning will exit early, and potentially hide other unrelated plugins. This is primarily an issue in development and test environments, because they are easy-to-make code mistakes that would generally not make it to a release. Exceptions from the version method, however, can cause the worker to fail to start up as they are uncaught.

It is desirable for the worker to instead log these exceptions and continue. This will prevent one mis-implemented plugin from affecting other plugins, while still causing integration tests to fail against the plugin itself. We can augment logging to make it clear how to correct these failures, where before it was rather opaque and difficult to debug.",,gharris1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAFKA-14627,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-01-24 22:33:06.0,,,,,,,,,,"0|z1fbxc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
