Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Incorporates),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Regression),Outward issue link (Required),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Patch Info),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regression),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
endpoint-dsl should support dynamic uri in Enrich EIP,CAMEL-15815,13338968,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,davsclaus,ncasaux,ncasaux,05/Nov/20 09:04,04/Dec/20 12:33,13/Jul/23 08:33,04/Dec/20 12:33,3.6.0,,,3.7.0,,,,,came-core,,,,0,,,,,"Hello,

 

I found something which seems unexpected with the enrich processor and Camel 3.6.0.

 If you consider those 2 routes:

  
{code:java}
from(timer(""foo""))
         .setBody(constant(""1""))
         .enrich(""seda://test-${body}"");
 
 from(timer(""bar""))
         .setBody(constant(""2""))
         .enrich(seda(""test-${body}""));{code}
 

In the log, it says:
{code:java}
[mel-1) thread #6 - timer://bar] SedaEndpoint                   INFO  Endpoint seda://test-2 is using shared queue: seda://test-2 with size: 1000
[mel-1) thread #5 - timer://foo] SedaEndpoint                   INFO  Endpoint seda://test-$%7Bbody%7D is using shared queue: seda://test-$%7Bbody%7D with size: 1000 
{code}
 

So the route using the enrich with “EndpointRouteBuilder style” seems to consider the endpoint URI as a “simple” expression (and resolves it), and the other one like a “constant” expression (which is what I expected). In the first case, it means that the endpoint is resolved for every exchange processed.

 

It’s possible to “force” the constant expression using this though:
{code:java}
from(timer(""biz""))
         .setBody(constant(""3""))
         .enrich().constant(seda(""test-${body}""));{code}
 

Regards,

Nicolas",,davsclaus,ncasaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Thu Nov 05 09:26:37 UTC 2020,,,,,,,,,,,"0|z0kb1s:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"05/Nov/20 09:15;davsclaus;We need to do something like we do in toD and wireTap where we have special support for this.

This would be for Enrich and pollEnrich EIP both of them
;;;","05/Nov/20 09:26;ncasaux;From my tests, the issue is not happening with pollEnrich:
{code:java}
from(timer(""foo""))
 .setBody(constant(""1""))
 .pollEnrich(""seda://test1-${body}"");

from(timer(""bar""))
 .setBody(constant(""2""))
 .pollEnrich(seda(""test2-${body}""));{code}
 
{code:java}
[ main] SedaEndpoint INFO Endpoint seda://test1-$%7Bbody%7D is using shared queue: seda://test1-$%7Bbody%7D with size: 1000
[ main] SedaEndpoint INFO Endpoint seda://test2-$%7Bbody%7D is using shared queue: seda://test2-$%7Bbody%7D with size: 1000{code}
 ;;;",,,,,,,,,,,,,,,,,,
report-maven-plugin fails to validate simple expression,CAMEL-15811,13338870,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,,mcollovati,mcollovati,04/Nov/20 16:54,05/Nov/20 07:11,13/Jul/23 08:33,05/Nov/20 07:11,3.6.0,,,3.7.0,,,,,tooling,,,,0,,,,,"Starting from camel 3.6, *camel-report-maven-plugin validate goal*  fails to validate simple expressions; on console log I see an error *[null]* for every expression, also simple ones like *${body.id}*.

Debugging a bit I found that error is due to a NPE on the *ExpressionAdapter* created
 in *SimpleExpressionBuilder.bodyOgnlExpression*, and more specifically in the 
 *init* method, that uses *CamelContext* to resolve bean language.


 When running from maven goal execution, at a certain point, init method is called with a null CamelContext reference and this causes the NPE.

Below an extract of the stacktrace

 
{noformat}
 java.lang.NullPointerException
 at org.apache.camel.language.simple.SimpleExpressionBuilder$28.init(SimpleExpressionBuilder.java:761)
 at org.apache.camel.language.simple.ast.SimpleFunctionExpression.createExpression(SimpleFunctionExpression.java:61)
 at org.apache.camel.language.simple.ast.SimpleFunctionStart.doCreateLiteralExpression(SimpleFunctionStart.java:70)
 at org.apache.camel.language.simple.ast.SimpleFunctionStart.createExpression(SimpleFunctionStart.java:60)
 at org.apache.camel.language.simple.SimpleExpressionParser.createExpressions(SimpleExpressionParser.java:165)
 at org.apache.camel.language.simple.SimpleExpressionParser.doParseExpression(SimpleExpressionParser.java:88)
 at org.apache.camel.language.simple.SimpleExpressionParser.parseExpression(SimpleExpressionParser.java:55)
 at org.apache.camel.language.simple.SimpleLanguage.createExpression(SimpleLanguage.java:132)
{noformat}
In 3.5 **init** method was nor overridden by the *ExpressionAdapter* nor invoked in *SimpleFunctionExpression.createExpression*.

 ",,mcollovati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-11-04 16:54:10.0,,,,,,,,,,,"0|z0kag0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can't call overloaded method using simple expression returning subtype of expected parameter ,CAMEL-15810,13338865,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,davsclaus,joshua.smith,joshua.smith,04/Nov/20 16:37,05/Nov/20 11:29,13/Jul/23 08:33,05/Nov/20 11:29,3.4.4,,,3.7.0,,,,,came-core,,,,0,,,,,"When calling an overloaded method, Camel has to evaluate the parameter types to determine which is the correct method to call. For a parameter that is a simple expression, Camel will evaluate the type, but doesn't recognize it can call a method with a subtype of the expected type.

I've included a patch with a test to demonstrate.",,davsclaus,joshua.smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/Nov/20 16:37;joshua.smith;camel-overloaded-method-inheritance-test.patch;https://issues.apache.org/jira/secure/attachment/13014726/camel-overloaded-method-inheritance-test.patch",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Thu Nov 05 11:29:00 UTC 2020,,,,,,,,,,,"0|z0kaew:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"05/Nov/20 11:29;davsclaus;Thanks for reporting and for the test case;;;",,,,,,,,,,,,,,,,,,,
PredicateBuilder doesn't init predicates properly,CAMEL-15809,13338841,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,Fixed,,jensgr@gmx.net,jensgr@gmx.net,04/Nov/20 14:38,05/Nov/20 05:56,13/Jul/23 08:33,05/Nov/20 05:56,3.6.0,,,3.7.0,,,,,camel-core,,,,0,,,,,The compound predicates created by PredicateBuilder should initialize their contained predicates/expressions.,,jensgr@gmx.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-11-04 14:38:47.0,,,,,,,,,,,"0|z0ka9k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-mock: MockEndpoint doesn't init predicates,CAMEL-15808,13338838,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,Fixed,,jensgr@gmx.net,jensgr@gmx.net,04/Nov/20 14:12,05/Nov/20 05:56,13/Jul/23 08:33,05/Nov/20 05:56,3.6.0,,,3.7.0,,,,,camel-test,,,,0,,,,,"For Predicates added via
{code:java}
mock.expectedMessagesMatches(Perdicates... predicates) {code}
you can end up with NPE because those predicates never get initialized:

 
{code:java}
2020-11-04 15:11:14,244 [main] ERROR org.apache.camel.component.mock.MockEndpoint  - Caught exception on mock://myMock due to: null
java.lang.NullPointerException: null
	at org.apache.camel.support.builder.ExpressionBuilder$55.evaluate(ExpressionBuilder.java:1587) ~[camel-support-3.6.0.jar:3.6.0]
	at org.apache.camel.support.ExpressionAdapter.evaluate(ExpressionAdapter.java:35) ~[camel-support-3.6.0.jar:3.6.0]
	at org.apache.camel.support.builder.BinaryPredicateSupport.matchesReturningFailureMessage(BinaryPredicateSupport.java:67) ~[camel-support-3.6.0.jar:3.6.0]
	at org.apache.camel.support.builder.BinaryPredicateSupport.matches(BinaryPredicateSupport.java:56) ~[camel-support-3.6.0.jar:3.6.0]
	at org.apache.camel.support.builder.PredicateBuilder$2.matches(PredicateBuilder.java:69) ~[camel-support-3.6.0.jar:3.6.0]
	at org.apache.camel.support.PredicateAssertHelper.doAssertMatches(PredicateAssertHelper.java:50) ~[camel-support-3.6.0.jar:3.6.0]
	at org.apache.camel.support.PredicateAssertHelper.assertMatches(PredicateAssertHelper.java:45) ~[camel-support-3.6.0.jar:3.6.0]
	at org.apache.camel.component.mock.AssertionClause.applyAssertionOn(AssertionClause.java:114) ~[camel-mock-3.6.0.jar:3.6.0]
	at org.apache.camel.component.mock.MockEndpoint$9.assertOnIndex(MockEndpoint.java:813) ~[camel-mock-3.6.0.jar:3.6.0]
	at org.apache.camel.component.mock.MockEndpoint.onExchange(MockEndpoint.java:1566) ~[camel-mock-3.6.0.jar:3.6.0]
	at org.apache.camel.component.mock.MockEndpoint$1.process(MockEndpoint.java:303) ~[camel-mock-3.6.0.jar:3.6.0] {code}
 ",,jensgr@gmx.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-11-04 14:12:44.0,,,,,,,,,,,"0|z0ka8w:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple expression regression with contains operator in 3.6.0,CAMEL-15807,13338828,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,davsclaus,antoine.dessaigne,antoine.dessaigne,04/Nov/20 13:29,04/Nov/20 17:53,13/Jul/23 08:33,04/Nov/20 15:54,3.6.0,,,3.7.0,,,,,camel-language,,,,0,,,,,"Hello,

We noticed a regression in simple expressions that was introduced in Camel 3.6.0.

Consider the following routes
{noformat}
from(""timer:foo?repeatCount=1"")
    .setBody(constant(""The answer is 42.""))
    .choice()
        .when(simple(""${body} contains '42'"")).log(""We have an answer"")
        .otherwise().log(""We don't have an answer"");
{noformat}

It prints the ""otherwise"" message in Camel 3.6.0 but shouldn't. It works if the contains operator is {{' 42'}} (prefixed by a space) or is {{'answer'}}

Can you have a look at it? Thank you very much.",,antoine.dessaigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Nov 04 17:53:03 UTC 2020,,,,,,,,,,,"0|z0ka6o:",9223372036854775807,Regression,,,,,,,,,,,,,,,,,,,"04/Nov/20 17:53;antoine.dessaigne;Thank you very much [~davsclaus];;;",,,,,,,,,,,,,,,,,,,
missing jar libraries in download zip,CAMEL-15803,13338722,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,acosentino,emmerson,emmerson,03/Nov/20 21:01,04/Nov/20 06:01,13/Jul/23 08:33,04/Nov/20 06:01,3.6.0,,,3.4.5,3.7.0,,,,build system,,,,0,,,,,"Hi,

 

I downloaded camel 3.6.0 tar.gz file from below link and I found missing some camel libraries like camel-cdi

[https://camel.apache.org/download/]

 

I am working in a secure environment and the only way to have all camel jar files is downloading the tar.gz file (we have no access to any maven repo in internet), can you please amend that in order to start to use camel 3.6.0 in our microservices?

 

Regards,

Emmerson.

 ",,acosentino,emmerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Nov 04 06:01:58 UTC 2020,,,,,,,,,,,"0|z0k9j4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Nov/20 06:01;acosentino;This has been fixed for 3.7 and 3.4.5. I don't the uploaded package for 3.6.0 can be amended.;;;","04/Nov/20 06:01;acosentino;You can always download the jar from maven central and add it to the exploded tar;;;",,,,,,,,,,,,,,,,,,
DefaultConfigurerResolver always resolves to ExtendedCamelContextConfigurer if name contains CamelContext,CAMEL-15801,13338714,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,,mcollovati,mcollovati,03/Nov/20 19:53,03/Nov/20 20:57,13/Jul/23 08:33,03/Nov/20 20:57,3.6.0,,,3.7.0,,,,,camel-core,,,,0,,,,,"*DefaultConfigurerResolver* uses a special fallback for configurer names containing the string *CamelContext*, that tries to resolve a configurer against *ExtendedCamelContext* FQCN, that usually results into a *ExtendedCamelContextConfigurer*.

In some cases this can lead to *ClassCastException* due to an explicit cast to *ExtendedCamelContext* in *ExtendedCamelContextConfigurer.configure*, for example when using *PropertyBindingSupport*.

Trying to to bind a target bean whose FQCN contains *CamelContext* (eg *my.package.ClassNameWithCamelContextInside*) fails with the following exception:
{noformat}
Caused by: java.lang.ClassCastException: class my.package.ClassNameWithCamelContextInside cannot be cast to class org.apache.camel.ExtendedCamelContext (my.package.ClassNameWithCamelContextInside and org.apache.camel.ExtendedCamelContext are in unnamed module of loader 'app')
 at org.apache.camel.impl.ExtendedCamelContextConfigurer.configure(ExtendedCamelContextConfigurer.java:94)
 at org.apache.camel.support.PropertyBindingSupport.setSimplePropertyViaConfigurer(PropertyBindingSupport.java:847){noformat}
The problem seems to be in the following snippet
{code:java}
if (name.contains(""CamelContext"")) {
 // fallback special for camel context itself as we have an extended configurer
 type = findConfigurer(ExtendedCamelContext.class.getName(), context);
 }{code}",,mcollovati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-11-03 19:53:00.0,,,,,,,,,,,"0|z0k9hc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWS2 S3 component option isIncludeFolders check fails in some cases,CAMEL-15797,13338672,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,Fixed,acosentino,filipeportes,filipeportes,03/Nov/20 15:33,30/Sep/21 10:34,13/Jul/23 08:33,03/Nov/20 15:43,3.5.0,3.6.0,,3.7.0,,,,,camel-aws2,,,,0,,,,,"with a recent update aws s3 started to send folder keys with the contentType as ""application/x-directory; charset=UTF-8"" by default

and the current check in the AWS2S3Consumer.java class only checks for: 
{code:java}
""application/x-directory"".equalsIgnoreCase
{code}
on line [https://github.com/apache/camel/blob/master/components/camel-aws2-s3/src/main/java/org/apache/camel/component/aws2/s3/AWS2S3Consumer.java#L221]

with this some keys, specially new ones, are not identified as folders and they are consumed as objects when the `isIncludeFolders` is set to false.",,filipeportes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-11-03 15:33:56.0,,,,,,,,,,,"0|z0k988:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CxfRsEndpoint recreates SSL context for each message,CAMEL-15794,13338587,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,Fixed,,jensgr@gmx.net,jensgr@gmx.net,03/Nov/20 08:39,03/Nov/20 18:38,13/Jul/23 08:33,03/Nov/20 18:38,3.6.0,,,3.7.0,,,,,camel-cxfrs,,,,0,performance,,,,"CxfRsEndpoint contains this code in `_invoke*Client_`:

{code} WebClient client = cfb.createWebClient();
((CxfRsEndpoint) getEndpoint()).getChainedCxfRsEndpointConfigurer().configureClient(client);{code}

This means, a new client is created on every request (ok, because possibly not thread-safe) and then configured. The configuration step includes an `_AbstractSslEndpointConfigurer_` which also recreates the _SSLSocketFactory_ on every call, and *that* includes re-opening and re-reading configured key and trust stores.

Doing this on every request obviously degrades performance significantly.",,davsclaus,jensgr@gmx.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Nov 03 18:38:51 UTC 2020,,,,,,,,,,,"0|z0k8pc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"03/Nov/20 18:38;davsclaus;Thanks for the PR;;;",,,,,,,,,,,,,,,,,,,
